Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 921       , 773       , 1        , 0.038                    
 620       , 431       , 1        , 0.020999999999999998     
 119       , 460       , 1        , 0.006                    
 843       , 175       , 1        , 0.008                    
 337       , 737       , 1        , 0.016                    
 910       , 312       , 26       , 0.014                    
 498       , 652       , 2        , 0.024                    
 406       , 435       , 29       , 0.018000000000000002     
 136       , 177       , 1        , 0.007                    
 16        , 316       , 4        , 0.002                    
 624       , 531       , 3        , 0.027                    
 500       , 24        , 4        , 0.004                    
 196       , 801       , 1        , 0.009000000000000001     
 367       , 881       , 1        , 0.018000000000000002     
 117       , 233       , 1        , 0.006                    
 66        , 831       , 3        , 0.004                    
 570       , 264       , 6        , 0.013                    
 292       , 721       , 1        , 0.014                    
 693       , 223       , 1        , 0.011                    
 184       , 975       , 1        , 0.008                    
 652       , 195       , 1        , 0.009000000000000001     
 920       , 320       , 40       , 0.014                    
 868       , 663       , 1        , 0.032                    
 281       , 727       , 1        , 0.013                    
 887       , 546       , 1        , 0.026                    
 315       , 311       , 1        , 0.015000000000000001     
 148       , 668       , 4        , 0.008                    
 534       , 952       , 2        , 0.026                    
 580       , 177       , 1        , 0.009000000000000001     
 39        , 458       , 1        , 0.002                    
 265       , 829       , 1        , 0.012                    
 843       , 485       , 1        , 0.023                    
 209       , 319       , 11       , 0.009000000000000001     
 310       , 667       , 1        , 0.015000000000000001     
 954       , 328       , 2        , 0.015000000000000001     
 678       , 502       , 2        , 0.025                    
 694       , 507       , 1        , 0.024                    
 940       , 565       , 5        , 0.027                    
 38        , 470       , 2        , 0.002                    
 426       , 230       , 2        , 0.011                    
 560       , 882       , 14       , 0.027                    
 392       , 602       , 14       , 0.019                    
 718       , 48        , 2        , 0.003                    
 494       , 868       , 2        , 0.024                    
 700       , 12        , 4        , 0.002                    
 222       , 500       , 2        , 0.011                    
 556       , 208       , 4        , 0.01                     
 861       , 833       , 7        , 0.041                    
 567       , 579       , 3        , 0.028                    
 383       , 249       , 1        , 0.011                    
 33        , 676       , 1        , 0.002                    
 425       , 300       , 25       , 0.013                    
 464       , 773       , 1        , 0.023                    
 899       , 699       , 1        , 0.034                    
 617       , 172       , 1        , 0.008                    
 964       , 504       , 4        , 0.049                    
 776       , 584       , 8        , 0.029                    
 165       , 973       , 1        , 0.008                    
 273       , 207       , 3        , 0.01                     
 182       , 490       , 14       , 0.008                    
 46        , 568       , 2        , 0.003                    
 120       , 722       , 2        , 0.006                    
 335       , 536       , 67       , 0.013                    
 612       , 637       , 1        , 0.030000000000000002     
 582       , 92        , 2        , 0.005                    
 592       , 357       , 1        , 0.018000000000000002     
 111       , 454       , 1        , 0.006                    
 654       , 212       , 2        , 0.01                     
 319       , 603       , 1        , 0.015000000000000001     
 225       , 676       , 1        , 0.01                     
 413       , 246       , 1        , 0.011                    
 948       , 747       , 3        , 0.036000000000000004     
 919       , 754       , 1        , 0.037                    
 931       , 908       , 1        , 0.044                    
 59        , 437       , 1        , 0.003                    
 889       , 538       , 1        , 0.025                    
 104       , 131       , 1        , 0.005                    
 801       , 345       , 3        , 0.016                    
 162       , 692       , 2        , 0.009000000000000001     
 573       , 266       , 1        , 0.012                    
 902       , 300       , 2        , 0.014                    
 424       , 499       , 1        , 0.020999999999999998     
 301       , 974       , 1        , 0.014                    
 874       , 848       , 2        , 0.041999999999999996     
 489       , 873       , 3        , 0.024                    
 240       , 207       , 3        , 0.011                    
 852       , 985       , 1        , 0.041999999999999996     
 860       , 976       , 4        , 0.041999999999999996     
 936       , 397       , 1        , 0.019                    
 193       , 459       , 1        , 0.009000000000000001     
 326       , 418       , 2        , 0.018000000000000002     
 814       , 965       , 1        , 0.04                     
 65        , 725       , 5        , 0.003                    
 726       , 599       , 1        , 0.029                    
 713       , 205       , 1        , 0.01                     
 36        , 395       , 1        , 0.003                    
 627       , 865       , 1        , 0.031                    
 164       , 119       , 1        , 0.006                    
 607       , 621       , 1        , 0.029                    
 388       , 936       , 4        , 0.019                    
 865       , 672       , 1        , 0.033                    
 753       , 716       , 1        , 0.036000000000000004     
 107       , 838       , 1        , 0.006                    
 491       , 447       , 1        , 0.020999999999999998     
 148       , 232       , 4        , 0.007                    
 22        , 433       , 1        , 0.002                    
 503       , 781       , 1        , 0.024                    
 151       , 309       , 1        , 0.007                    
 921       , 467       , 1        , 0.022                    
 281       , 774       , 1        , 0.013                    
 477       , 140       , 1        , 0.007                    
 792       , 458       , 2        , 0.023                    
 950       , 903       , 1        , 0.045000000000000005     
 249       , 581       , 83       , 0.008                    
 860       , 306       , 2        , 0.015000000000000001     
 843       , 662       , 1        , 0.032                    
 75        , 560       , 5        , 0.004                    
 732       , 304       , 4        , 0.015000000000000001     
