Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 854       , 419       , 1        , 0.037                    
 277       , 391       , 1        , 0.023                    
 900       , 284       , 4        , 0.026                    
 470       , 727       , 1        , 0.041                    
 62        , 694       , 2        , 0.007                    
 504       , 856       , 8        , 0.047                    
 908       , 191       , 1        , 0.016                    
 334       , 451       , 1        , 0.029                    
 634       , 515       , 1        , 0.044                    
 329       , 471       , 1        , 0.028                    
 853       , 762       , 1        , 0.067                    
 242       , 612       , 2        , 0.02                     
 325       , 282       , 1        , 0.023                    
 829       , 855       , 1        , 0.074                    
 510       , 949       , 1        , 0.046                    
 976       , 710       , 2        , 0.064                    
 573       , 643       , 1        , 0.051                    
 163       , 514       , 1        , 0.015000000000000001     
 733       , 296       , 1        , 0.025                    
 73        , 944       , 1        , 0.007                    
 69        , 344       , 1        , 0.007                    
 813       , 800       , 1        , 0.094                    
 426       , 653       , 1        , 0.038                    
 528       , 699       , 3        , 0.047                    
 727       , 858       , 1        , 0.063                    
 951       , 41        , 1        , 0.005                    
 52        , 934       , 2        , 0.006                    
 1         , 455       , 1        , 0.002                    
 242       , 235       , 1        , 0.02                     
 271       , 616       , 1        , 0.022                    
 985       , 772       , 1        , 0.068                    
 732       , 99        , 3        , 0.01                     
 207       , 353       , 1        , 0.017                    
 20        , 298       , 2        , 0.004                    
 407       , 849       , 1        , 0.038                    
 908       , 675       , 1        , 0.057                    
 704       , 737       , 11       , 0.063                    
 649       , 560       , 1        , 0.049                    
 828       , 328       , 4        , 0.028                    
 337       , 838       , 1        , 0.028                    
 792       , 969       , 3        , 0.073                    
 11        , 773       , 1        , 0.003                    
 106       , 596       , 2        , 0.01                     
 423       , 581       , 1        , 0.034999999999999996     
 305       , 515       , 5        , 0.026                    
 25        , 81        , 1        , 0.003                    
 605       , 186       , 1        , 0.016                    
 94        , 460       , 2        , 0.009000000000000001     
 88        , 4         , 2        , 0.002                    
 874       , 777       , 1        , 0.068                    
 802       , 257       , 1        , 0.02                     
 346       , 770       , 2        , 0.029                    
 589       , 359       , 1        , 0.029                    
 312       , 273       , 39       , 0.023                    
 766       , 924       , 2        , 0.066                    
 664       , 789       , 1        , 0.063                    
 608       , 347       , 1        , 0.031                    
 740       , 223       , 1        , 0.019                    
 416       , 426       , 2        , 0.034999999999999996     
 969       , 848       , 1        , 0.076                    
 55        , 852       , 1        , 0.008                    
 668       , 946       , 2        , 0.058                    
 288       , 325       , 1        , 0.026                    
